dest_country,growth,avg_price,total_value,supplier_hhi,growth_z,avg_price_z,total_value_z,supplier_hhi_z,attractiveness
Vietnam,-0.9671385619876607,12460.76312491077,283042415.81562704,0.2649178663598106,-0.28127386553660155,-0.3554587476806065,4.2283057964178115,-0.33950634387061257,3.931079527071216
Qatar,-0.6033775973131976,94716.76751724139,17164255.726166278,0.3065296412200673,-0.27513005950514186,3.1511418219046776,-0.205326971635446,-0.1422948994548925,2.812979690218982
Indonesia,-0.7374509885637639,32766.527871198567,65562379.68,0.06897574597414291,-0.277394516084645,0.5101826939530026,0.6017325785051911,-1.2681384128680675,2.1026591692416163
Ghana,289.42487349263257,9435.918846153847,2863941.88,0.688751085078173,4.623354086353495,-0.4844088559329444,-0.4437908606606874,1.6691741686889148,2.0259802010709484
Malaysia,-0.9792946532358288,7989.073892114628,86505183.32,0.03194609785062561,-0.2814791780191993,-0.5460883330412266,0.9509628441350066,-1.4436337003718809,1.5670290334464616
Nigeria,1.4530833319349628,42522.413205405406,18333737.858,0.12552528338816932,-0.24039709393836425,0.9260793001942863,-0.185825353677784,-1.0001321576214928,1.4999890101996307
Saudi Arabia,-0.9799739394132357,38530.674586466164,5745938.71959152,0.1761797996508948,-0.2814906509448816,0.7559101676402011,-0.3957323227907866,-0.7600642837588768,0.8387514776634097
United Arab Emirates,-0.9381407798536194,25561.648,9123813.282,0.12633016801071958,-0.28078410229624534,0.20303629112463895,-0.33940481043990867,-0.9963175532328503,0.5791649316213352
United States,-1.0,11379.414363997097,61957015.87197785,0.21256329305337227,-0.281828884685628,-0.40155700164945324,0.5416115850598407,-0.5876313291231096,0.44585702784786907
Ethiopia,-0.7493006153702433,60897.97214285714,852571.61,0.4948077858928051,-0.27759465248110893,1.7094354322181762,-0.47733132571716125,0.7500151495040116,0.20449430451589434
South Africa,22.450231104410655,30489.35968253968,2412496.180478407,0.34299384088657864,0.11423799793696218,0.4131062637716061,-0.45131891202723134,0.030520547851686498,0.04550480182965046
Philippines,-0.9532233425905544,5542.665,11775279.15,0.07283998619351567,-0.28103884194373874,-0.6503795501736687,-0.2951904757544868,-1.249824548636343,0.0232156807644488
Senegal,44.15212635033502,53544.59,215116.86,0.6551412294048448,0.4807760486190554,1.395958328619338,-0.4879611580689432,1.5098863659888293,-0.12111314681937912
India,4.68800363876346,8581.111949695121,11403561.54,0.21582728459029124,-0.18576032742832793,-0.5208495555773228,-0.30138902690891006,-0.5721622344325278,-0.435836675482033
Oman,-0.9550405561993047,18455.603333333333,715064.49,0.2828225037946463,-0.28106953409879143,-0.09989673436954757,-0.4796243161337773,-0.2546505687415357,-0.6059400158605807
Brazil,-0.05093800134570416,4097.464619118376,74428546.93,0.4477033977500294,-0.26579953190232547,-0.711988918586376,0.7495797338842344,0.5267724626647168,-0.754981179269184
Canada,-0.027174520827123284,13544.434561935484,1657915.96672,0.3147931178488303,-0.26539817433755986,-0.30926147726385295,-0.4639018619044165,-0.10313165377919867,-0.9354298597266308
South Sudan,1.8814714103190526,434.12848623036126,290161.13,0.23987910365950993,-0.2331617566829307,-0.8681581449555235,-0.4867097625635181,-0.4581730091376345,-1.129856655064338
Thailand,0.7789016865639424,4377.270625,892956.75,0.3182237160677884,-0.25178380571167575,-0.70006069636301,-0.47665788612367915,-0.08687295699823308,-1.3416294312001318
Uganda,-0.33240738577962053,236.35942352966964,3395870.666,0.47676982796681333,-0.27055345953528054,-0.876589105260924,-0.4349207191827756,0.6645275261368,-2.24659081011578
Namibia,5.530012865497076,150.0,172849.34,0.5005714267732719,-0.17153906162983795,-0.8802706359403601,-0.488665987159205,0.7773308779714356,-2.317806562700839
Botswana,0.1287027123483226,16.01,477.16999999999996,0.5018277440398798,-0.26276545786066247,-0.8859826737884147,-0.4915403672924032,0.7832849653331067,-2.423573464274587
Kenya,-0.4254653251476005,2645.189888888889,19468637.12,0.8748216063783834,-0.2721251782865651,-0.7738998688426937,-0.1669004199609656,2.551021587887754,-3.7639470549779785
